report,session_id,report_date,completed_work_units,success_status,failure_reason,session_type,agent_count,duration_minutes,files_touched,notes
2026-06-27T03-35-08Z-operator,commit-false-intent-validates-external-seeds-dir,2026-06-26,1,completed,,patch,1,41.22,4,namespace=jarvis:2026-06-26T21-33-19Z-commit-false-intent-validates-external-seeds-dir; issue #529 PR #608 merge_sha=2e280c54; run haiku->opus actuator->haiku completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,patch-completion-commit-tolerates-self-committed-tree,2026-06-26,1,completed,,patch,1,54.13,4,namespace=jarvis:2026-06-26T04-57-53Z-patch-completion-commit-tolerates-self-committed-tree; issue #547 PR #586 merge_sha=653863fd; run gpt-5.4->opus actuator->gpt-5.4 completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,improve-template-pr-narrative-quality,2026-06-26,1,completed,,patch,1,40.90,6,namespace=jarvis:2026-06-26T21-57-30Z-improve-template-pr-narrative-quality; issue #521 PR #617 merge_sha=e7927bf8; run haiku 3-iter completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,cleanup-archives-commitfalse-external-specs,2026-06-26,1,completed,,patch,1,41.36,5,namespace=jarvis:2026-06-26T21-56-58Z-cleanup-archives-commitfalse-external-specs; merge_sha=e6de6e1a; run haiku->opus/gpt-5.5 actuator (gpt-5.5 quota-exhausted bounces)->haiku completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,deflake-spawn-classification-retry-test,2026-06-26,1,completed,,patch,1,147.17,1,namespace=jarvis:2026-06-26T04-57-51Z-deflake-spawn-classification-retry-test; PR #584 merge_sha=3d0293e5; long cascade haiku->Composer->qwen(agent-error)->gpt-5.4->opus actuator->gpt-5.4 completed-spec; 18 iters; judgment=completed
2026-06-27T03-35-08Z-operator,commit-false-rerun-resets-killed-run,2026-06-26,0,blocked,plan blocked - intent stale (already shipped via auto-reset or mis-scoped),plan,1,14.59,0,"namespace=plan:jarvis:commit-false-rerun-resets-killed-run-2; #520 re-run-hygiene intent, plan correctly blocked rather than author no-op; no run phase; judgment=blocked"
2026-06-27T03-35-08Z-operator,prnarrative-default-deliberate-choice,2026-06-26,0,blocked,"planned, not run this session (deferred)",plan,1,7.11,0,namespace=plan:jarvis:prnarrative-default-deliberate-choice; plan #606 drafted; run deferred; no run phase; judgment=planned-not-run
2026-06-27T03-35-08Z-operator,plan-generated-spec-markdown-passes-lint-md,2026-06-26,0,blocked,"plan blocked (4 agent-error fallbacks opus->gpt-5.5->Composer->qwen before opus plan-draft-ok, then blocked)",plan,1,18.64,0,namespace=plan:jarvis:plan-generated-spec-markdown-passes-lint-md; lint-dirty-emitter root-fix seed; no run phase; judgment=blocked
2026-06-27T03-35-08Z-operator,commit-false-rerun-cleanup-hygiene,2026-06-26,0,blocked,plan blocked - #520 intent stale,plan,1,6.97,0,namespace=plan:jarvis:commit-false-rerun-cleanup-hygiene; single plan-draft-ok iter then blocked; no run phase; judgment=blocked
2026-06-27T03-35-08Z-operator,commit-false-reset-once-per-run,2026-06-26,0,blocked,plan blocked - #520 intent stale,plan,1,6.77,0,namespace=plan:jarvis:commit-false-reset-once-per-run; single plan-draft-ok iter then blocked; no run phase; judgment=blocked
2026-06-27T12-41-55Z-operator,cleanup-archive-external-commitfalse-specs,2026-06-27,1,completed,,patch,2,33.78,14,#566; run via codex (3 iters)
2026-06-27T12-41-55Z-operator,retry-transient-agent-errors-before-cascade-exit,2026-06-27,1,completed,,patch,2,33.02,8,#585
2026-06-27T12-41-55Z-operator,normalize-residual-worktree-state-on-agent-error,2026-06-27,2,completed,,patch,2,56.96,12,#585; first run agent-error (codex+cursor quota during claude-removed window); re-run on claude
2026-06-27T12-41-55Z-operator,warn-on-shared-model-pool-contention,2026-06-27,1,completed,,patch,2,22.52,9,#585
2026-06-27T12-41-55Z-operator,commit-false-source-spec-rerun-reset,2026-06-27,1,completed,,patch,2,65.37,11,#520; codex attempt abandoned (async-leak survived 3 review-feedback rounds); from-scratch claude re-impl passed CI
2026-06-27T12-41-55Z-operator,commit-false-rerun-workspace-cleanup,2026-06-27,1,completed,,patch,2,54.57,12,#520; v1-behaviors merge conflict hand-resolved
2026-06-27T12-41-55Z-operator,init-scaffolds-operator-runbook,2026-06-27,2,completed,,patch,1,33.72,12,#598 core
2026-06-27T12-41-55Z-operator,failure-exits-cite-runbook-section,2026-06-27,1,completed,,patch,2,39.16,9,#598; plan blocked first ($0.22) then re-planned ($2.83) after init-scaffolds shipped; final run contention-flaked then isolated-green
2026-06-27T12-41-55Z-operator,runbook-add-appends-learning,2026-06-27,1,completed,,patch,2,29.79,9,#598; plan blocked first ($0.54) then re-planned ($2.48)
2026-06-27T12-41-55Z-operator,prnarrative-default-deliberate-choice,2026-06-27,1,completed,,patch,1,20.59,9,active spec; plan from prior session
2026-06-27T18-36-37Z-operator,worktree-branches-off-fresh-base,2026-06-27,1,completed,,patch,2,33.02,7,PR #685
2026-06-27T18-36-37Z-operator,ready-flip-confirms-base-current,2026-06-27,1,completed,,patch,2,49.32,16,PR #686
2026-06-27T18-36-37Z-operator,cleanup-retires-abandoned-runs,2026-06-27,1,completed,,patch,2,41.4,10,"PR #687; run exit-11, operator-reviewed in lieu of skipped debate"
2026-06-27T18-36-37Z-operator,merge-on-green-gate,2026-06-27,1,completed,,patch,2,42.12,8,PR #688; operator integration-merge + autofix-commit
2026-06-27T18-36-37Z-operator,finalize-dirty-complete-run,2026-06-27,1,completed,,patch,1,44.57,9,PR #691; operator integration-merge
2026-06-27T18-36-37Z-operator,merge-target-by-worktree-or-spec,2026-06-27,1,completed,,patch,1,40.37,11,PR #695; operator integration-merge
2026-06-27T18-36-37Z-operator,finalize-refuses-when-behind-base,2026-06-27,1,completed,,plan,1,6.38,4,plan-only; impl deferred (#693); completed_work_units=1 = finalized plan
2026-06-27T18-36-37Z-operator,intent-emit-lint-md-clean-ready-intents-pinned-autofix,2026-06-27,1,completed,,patch,1,27.97,7,PR #677; run-only this session; exit-6 then operator manual-finalize
2026-06-28T04-26-07Z-operator,structured-log-stream,2026-06-28,2,completed,,multi-subspec,1,79.37,4,merged #730
2026-06-28T04-26-07Z-operator,daemon-host-ipc,2026-06-28,2,completed,,multi-subspec,1,255.3,10,merged #729; run_time inflated by cursor watchdog stalls
2026-06-28T04-26-07Z-operator,daemon-run-control-api,2026-06-28,4,completed,,multi-subspec,2,57.57,8,merged #733; haiku+opus
2026-06-28T04-26-07Z-operator,daemon-cli-control,2026-06-28,1,completed,,single-spec,1,62.97,4,merged #741
2026-06-28T12-39-28Z-operator,patch-run-writes-active-spec-path-marker,2026-06-28,1,completed,,patch,1,52.48,7,operator hand-finalized out-of-scope actuator residue; gate in isolation
2026-06-28T12-39-28Z-operator,triage-finalize-without-active-spec-path-marker,2026-06-28,1,completed,,patch,2,49.68,7,"codex quota→cursor idle-stall×2→reorder to claude; gate in isolation; agent_count=cursor+claude (codex quota attempts excluded)"
2026-06-28T13-40-00Z-operator,daemon-run-control-handler-factory,2026-06-28,1,completed,,patch,1,35.45,5,"impl branch DIRTY on premature archive; operator hand integration-merge (seed #757); agent_count=cursor (codex quota excluded)"
2026-06-28T13-40-00Z-operator,daemon-start-list-use-real-handlers,2026-06-28,1,completed,,patch,2,33.13,4,"daemon teardown hang fixed via real handler factory + fixture settlement; agent_count=codex+cursor"
2026-06-28T13-40-00Z-operator,test-no-production-reimplement,2026-06-28,1,completed,,patch,2,20.28,4,"doc-only convention v2/docs/test-writing.md; agent_count=codex+cursor"
2026-06-28T23-01-08Z-operator,v2-integration-test-runner,2026-06-28,1,completed,,patch,1,30.15,6,test:v2/test:integration:v2 split; agent_count=cursor; gate timeout was parallel-load flake
2026-06-28T23-01-08Z-operator,shared-socket-test-fixture,2026-06-28,1,completed,,patch,1,40.75,5,shared unix-socket fixture; behind-base + biome CI fail hand-finalized; agent_count=cursor
2026-06-28T23-01-08Z-operator,v2-socket-tests-skip-honestly,2026-06-28,1,completed,,patch,1,36.93,5,test.skipIf honest skips; behind-base hand integration-merge; agent_count=cursor
